Planet,Satellite,Code,Frame,Epoch,a,e,?,M,i,node,P,Papsis,Pnode,R.A.,Dec.,Tilt,
,,,,(TDB),(km),,(deg),(deg),(deg),(deg),(days),(yr),(yr),(deg),(deg),(deg),
Uranus,Trinculo,721,ecliptic ,2020-01-01.0,8502600,0.22,162.2,55.6,167.1,196.5,749,2589,4265,,,,
Uranus,Francisco,722,ecliptic ,2020-01-01.0,4275700,0.144,137.6,288.4,146.8,101.9,267,12473,14419,,,,
Uranus,Margaret,723,ecliptic ,2020-01-01.0,14425000,0.642,90.7,115.9,60.5,0.9,1655,-,1002,,,,
Uranus,Ferdinand,724,ecliptic ,2020-01-01.0,20421400,0.395,166.9,172.3,169.2,223.9,2788,747,1001,,,,
Uranus,S2023_U1,75051,ecliptic ,2020-01-01.0,7976600,0.25,158.7,101.8,143.9,260.2,681,5078,5022,,,,
Neptune,Triton,801,Laplace ,2000-01-01.5,354800,0,0,63,157.3,178.1,5.876994,0,340.379,299.8,43.1,0.4,
Neptune,Naiad,803,Laplace ,2000-01-01.5,48200,0,0,89.7,4.7,41.4,0.29398,0,0.575,299.7,42.7,0.4,
Neptune,Thalassa,804,Laplace ,2000-01-01.5,50100,0,0,165.7,0.2,130.6,0.311078,0,0.654,299.7,42.7,0.4,
Neptune,Despina,805,Laplace ,2000-01-01.5,52500,0,0,125.1,0,0,0.334656,0,0,299.7,42.7,0.4,
Neptune,Galatea,806,Laplace ,2000-01-01.5,62000,0,0,86.7,0,0,0.428744,0,0,299.8,43.1,0.4,
Neptune,Larissa,807,Laplace ,2000-01-01.5,73500,0.001,247.3,165.5,0.2,312,0.554989,1.257,2.514,299.8,43.1,0.4,
Neptune,Proteus,808,Laplace ,2000-01-01.5,117600,0,0,276.8,0,0,1.122315,0,0,299.8,42.6,0.9,
Neptune,Hippocamp,814,Laplace ,2000-01-01.5,105300,0.001,346.4,286.5,0.3,0.5,0.95039,8.726,661.762,299.8,43,0.4,
Neptune,Nereid,802,ecliptic ,2020-01-01.0,5513900,0.751,296.8,318.5,5.1,319.5,360.133039,7990.433,9426.334,,,,
Neptune,Halimede,809,ecliptic ,2020-01-01.0,16590500,0.521,157.9,135.8,119.6,198.5,1879,5395,5156,,,,
Neptune,Psamathe,810,ecliptic ,2020-01-01.0,47646600,0.413,148.2,183.2,127.8,302.9,9149,1484,1333,,,,
Neptune,Sao,811,ecliptic ,2020-01-01.0,22239900,0.296,93.5,178.5,50.2,41.8,2919,-,4454,,,,
Neptune,Laomedeia,812,ecliptic ,2020-01-01.0,23499900,0.419,146.2,248.1,36.9,57.6,3168,2255,3154,,,,
Neptune,Neso,813,ecliptic ,2020-01-01.0,49897800,0.455,89.8,13.8,128.4,55.4,9805,-,1116,,,,
Neptune,S2002_N5,85051,ecliptic ,2020-01-01.0,23414700,0.433,59.1,303.2,46.3,258.3,3151,2869,3121,,,,
Neptune,S2021_N1,85052,ecliptic ,2020-01-01.0,50700200,0.503,90.4,237.1,135.2,258.9,10043,-,924,,,,
Pluto,Charon,901,equatorial ,2000-01-01.5,19600,0,0,304.1,0,0,6.387222,-,-,,,,
Pluto,Styx,905,equatorial ,2000-01-01.5,43200,0.025,322.5,358.1,0,0,20.16,-,-,,,,
Pluto,Nix,902,equatorial ,2000-01-01.5,49300,0.015,31.4,338.2,0,0,24.85,-,-,,,,
Pluto,Kerberos,904,equatorial ,2000-01-01.5,58300,0.01,32.1,276.1,0.4,314.3,32.17,-,9,,,,
Pluto,Hydra,903,equatorial ,2000-01-01.5,65200,0.009,139.3,335,0.3,114.3,38.2,-,14,,,,
